NP_ChEMBL_ID,Target_ChEMBL_ID,Relationship,Assay_type,Activ_type,Activ_Value,Units,Activity_ID,Assay_ChEMBL_ID,Assay,Target,Organism,Reference_ID
CHEMBL8260,CHEMBL3577,A,assay format,Potency,11220.2,nM,4118433,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL269538,CHEMBL3577,A,assay format,Potency,11220.2,nM,4177473,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL187266,CHEMBL3577,A,assay format,Potency,11220.2,nM,4162963,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL12014,CHEMBL3577,A,assay format,Potency,11220.2,nM,4163093,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL103,CHEMBL3577,A,assay format,Potency,11220.2,nM,4189398,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL8739,CHEMBL3577,A,assay format,Potency,10000,nM,4163000,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL69863,CHEMBL3577,A,assay format,Potency,10000,nM,4127109,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL465843,CHEMBL3577,A,assay format,Potency,10000,nM,4169435,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL465843,CHEMBL3577,A,assay format,Potency,10000,nM,4169435,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL28,CHEMBL3577,A,assay format,Potency,10000,nM,4191582,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL294878,CHEMBL3577,A,assay format,Potency,8912.5,nM,4123775,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL269538,CHEMBL3577,A,assay format,Potency,8912.5,nM,4122012,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL164,CHEMBL3577,A,assay format,Potency,8912.5,nM,4190723,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL164,CHEMBL3577,A,assay format,Potency,8912.5,nM,4190723,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL151,CHEMBL3577,A,assay format,Potency,8912.5,nM,4193705,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL140,CHEMBL3577,A,assay format,Potency,8912.5,nM,4134820,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL117,CHEMBL3577,A,assay format,Potency,8912.5,nM,4153539,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL131921,CHEMBL3577,A,assay format,Potency,7079.5,nM,4164574,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL28,CHEMBL3577,A,assay format,Potency,6309.6,nM,4172136,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL269538,CHEMBL3577,A,assay format,Potency,5623.4,nM,4135886,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL8739,CHEMBL3577,A,assay format,Potency,3548.1,nM,4150679,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL243664,CHEMBL3577,A,assay format,Potency,3548.1,nM,4195725,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL164,CHEMBL3577,A,assay format,Potency,3548.1,nM,4173831,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL164,CHEMBL3577,A,assay format,Potency,3548.1,nM,4173831,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL187266,CHEMBL3577,A,assay format,Potency,2818.4,nM,4152133,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL293492,CHEMBL3577,A,assay format,Potency,2511.9,nM,4128439,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL28,CHEMBL3577,A,assay format,Potency,1778.3,nM,4169631,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL243664,CHEMBL3577,A,assay format,Potency,1584.9,nM,4170532,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL117,CHEMBL3577,A,assay format,Potency,1584.9,nM,4179410,CHEMBL1614458,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Aldehyde dehydrogenase 1A1,Homo sapiens,CHEMBL1201862
CHEMBL15192,CHEMBL2457,A,assay format,Potency,39810.7,nM,5860383,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL180920,CHEMBL2457,A,assay format,Potency,31622.8,nM,5852867,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL418068,CHEMBL2457,A,assay format,Potency,25118.9,nM,5866501,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL150,CHEMBL2457,A,assay format,Potency,25118.9,nM,5861629,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL165,CHEMBL2457,A,assay format,Potency,19952.6,nM,5856032,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL31574,CHEMBL2457,A,assay format,Potency,15848.9,nM,5862718,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL269538,CHEMBL2457,A,assay format,Potency,15848.9,nM,5861447,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL151,CHEMBL2457,A,assay format,Potency,15848.9,nM,5851044,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL12014,CHEMBL2457,A,assay format,Potency,15848.9,nM,5865351,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL8739,CHEMBL2457,A,assay format,Potency,14125.4,nM,5851803,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL45068,CHEMBL2457,A,assay format,Potency,12589.3,nM,5860230,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL45068,CHEMBL2457,A,assay format,Potency,12589.3,nM,5864545,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL45068,CHEMBL2457,A,assay format,Potency,12589.3,nM,5860230,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL45068,CHEMBL2457,A,assay format,Potency,12589.3,nM,5864545,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL312163,CHEMBL2457,A,assay format,Potency,12589.3,nM,5866340,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL176045,CHEMBL2457,A,assay format,Potency,12589.3,nM,5862350,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL294009,CHEMBL2457,A,assay format,Potency,10000,nM,5852841,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL222556,CHEMBL2457,A,assay format,Potency,10000,nM,5867363,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL151,CHEMBL2457,A,assay format,Potency,10000,nM,5863538,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL8260,CHEMBL2457,A,assay format,Potency,7943.3,nM,5859338,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL140,CHEMBL2457,A,assay format,Potency,7943.3,nM,5851753,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL140,CHEMBL2457,A,assay format,Potency,7943.3,nM,5860407,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL69863,CHEMBL2457,A,assay format,Potency,4466.8,nM,5866292,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL417799,CHEMBL2457,A,assay format,Potency,3981.1,nM,5861436,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL417799,CHEMBL2457,A,assay format,Potency,3981.1,nM,5866690,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL164,CHEMBL2457,A,assay format,Potency,1995.3,nM,5861286,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL164,CHEMBL2457,A,assay format,Potency,1995.3,nM,5861286,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL164,CHEMBL2457,A,assay format,Potency,1258.9,nM,5862443,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL164,CHEMBL2457,A,assay format,Potency,1258.9,nM,5864835,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL164,CHEMBL2457,A,assay format,Potency,1258.9,nM,5862443,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL164,CHEMBL2457,A,assay format,Potency,1258.9,nM,5864835,CHEMBL1613800,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2312, AID2537, AID2702]","Arachidonate 15-lipoxygenase, type II",Homo sapiens,CHEMBL1201862
CHEMBL282731,CHEMBL2903,A,assay format,Potency,39810.7,nM,4467518,CHEMBL1614240,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO (15-human lipoxygenase). (Class of assay: confirmatory),Arachidonate 15-lipoxygenase,Homo sapiens,CHEMBL1201862
CHEMBL44,CHEMBL2903,A,assay format,Potency,31622.8,nM,4463602,CHEMBL1614240,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO (15-human lipoxygenase). (Class of assay: confirmatory),Arachidonate 15-lipoxygenase,Homo sapiens,CHEMBL1201862
CHEMBL323197,CHEMBL2903,A,assay format,Potency,25118.9,nM,4444909,CHEMBL1614240,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO (15-human lipoxygenase). (Class of assay: confirmatory),Arachidonate 15-lipoxygenase,Homo sapiens,CHEMBL1201862
CHEMBL44,CHEMBL2903,A,assay format,Potency,19952.6,nM,4469773,CHEMBL1614240,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO (15-human lipoxygenase). (Class of assay: confirmatory),Arachidonate 15-lipoxygenase,Homo sapiens,CHEMBL1201862
CHEMBL573524,CHEMBL2903,A,assay format,Potency,15848.9,nM,4468761,CHEMBL1614240,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO (15-human lipoxygenase). (Class of assay: confirmatory),Arachidonate 15-lipoxygenase,Homo sapiens,CHEMBL1201862
CHEMBL28626,CHEMBL2903,A,assay format,Potency,15848.9,nM,4464783,CHEMBL1614240,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO (15-human lipoxygenase). (Class of assay: confirmatory),Arachidonate 15-lipoxygenase,Homo sapiens,CHEMBL1201862
CHEMBL15192,CHEMBL2903,A,assay format,Potency,15848.9,nM,4468802,CHEMBL1614240,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO (15-human lipoxygenase). (Class of assay: confirmatory),Arachidonate 15-lipoxygenase,Homo sapiens,CHEMBL1201862
CHEMBL140,CHEMBL2903,A,assay format,Potency,15848.9,nM,4468629,CHEMBL1614240,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO (15-human lipoxygenase). (Class of assay: confirmatory),Arachidonate 15-lipoxygenase,Homo sapiens,CHEMBL1201862
CHEMBL42624,CHEMBL2903,A,assay format,Potency,12589.3,nM,4464435,CHEMBL1614240,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO (15-human lipoxygenase). (Class of assay: confirmatory),Arachidonate 15-lipoxygenase,Homo sapiens,CHEMBL1201862
CHEMBL418068,CHEMBL2903,A,assay format,Potency,12589.3,nM,4444088,CHEMBL1614240,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO (15-human lipoxygenase). (Class of assay: confirmatory),Arachidonate 15-lipoxygenase,Homo sapiens,CHEMBL1201862
CHEMBL140,CHEMBL2903,A,assay format,Potency,12589.3,nM,4465489,CHEMBL1614240,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO (15-human lipoxygenase). (Class of assay: confirmatory),Arachidonate 15-lipoxygenase,Homo sapiens,CHEMBL1201862
CHEMBL289277,CHEMBL2903,A,assay format,Potency,10000,nM,4463438,CHEMBL1614240,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO (15-human lipoxygenase). (Class of assay: confirmatory),Arachidonate 15-lipoxygenase,Homo sapiens,CHEMBL1201862
CHEMBL150,CHEMBL2903,A,assay format,Potency,10000,nM,4462676,CHEMBL1614240,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of 15-hLO (15-human lipoxygenase). (Class of assay: confirmatory),Arachidonate 15-lipoxygenase,Homo sapiens,CHEMBL1201862
